Feature,#Markers,#Code Markers,#File Markers,#Propagations,#Deletion Propagations,#Replacement Propagations,#Resource Propagations,#Path Propagations
Facile,0,0,0,0,0,0,0,0
Moyen,3,3,0,37,37,0,0,0
Difficile,4,4,0,36,36,0,0,0
